Predicted,Actuals,,,,,,,,,,,,,,,,
edible,edible,,,Edible (No),Poison (Yes),,edible,,,,,,,,,,
edible,edible,,P_Edible (NO),1683,2,1685,poisonous,,,,,,,,,,
edible,edible,,P_Poison (YES),0,1564,1564,,,,,,,,,,,
edible,edible,,,1683,1566,,,,,,,,,,,,
edible,edible,,,,,,,,,,,,,,,,
edible,edible,,True Positive,1683,,,Poisonous  Confusion Matrix,,,,,,,,,,
edible,edible,,True Negative,1564,,,,,Predicted,,,,,,,Predicted,
edible,edible,,False Positive,2,,,,,NO,YES,,,,,,NO,YES
edible,edible,,False Negative,0,,,Actual,NO,1683,0,1683,,,Actual,NO,TN,FP
edible,edible,,,3249,,,,YES,2,1564,1566,,,,YES,FN,TP
edible,edible,,,,,,,,1685,1564,,,,,,,
edible,edible,,,,,,Accruacy (TP + TN)/Total,,,,,,99.94%,,,,
edible,edible,,,,,,Missclassification rate (FP + FN)/Total,,,,,,0.06%,,,,
edible,edible,,,,,,True Postitive rate (TP/Actual YES),,,,,,99.87%,,,,
edible,edible,,,,,,False Positive rate (FP/Actual NO),,,,,,0.00%,,,,
edible,edible,,,,,,Specificity (TN/Actual NO),,,,,,100.00%,,,,
edible,edible,,,,,,Precision (TP/Prediced YES),,,,,,100.00%,,,,
edible,edible,,,,,,Prevalence (Actuals Yes/Total),,,,,,48.20%,,,,
edible,edible,,,,,,,,,,,,,,,,
edible,edible,,,,,,,,,,,,,,,,
edible,edible,,,,,,,,,,,,,,,,
edible,edible,,,,,,,,,,,,,,,,
edible,edible,,,,,,,,,,,,,,,,
edible,edible,,,,,,,,,,,,,,,,
edible,edible,,,,,,,,,,,,,,,,
edible,edible,,,,,,,,,,,,,,,,
edible,edible,,,,,,,,,,,,,,,,
edible,edible,,,,,,,,,,,,,,,,
edible,edible,,,,,,,,,,,,,,,,
edible,edible,,,,,,,,,,,,,,,,
edible,edible,,,,,,,,,,,,,,,,
edible,edible,,,,,,,,,,,,,,,,
edible,edible,,,,,,,,,,,,,,,,
edible,edible,,,,,,,,,,,,,,,,
edible,edible,,,,,,,,,,,,,,,,
edible,edible,,,,,,,,,,,,,,,,
edible,edible,,,,,,,,,,,,,,,,
edible,edible,,,,,,,,,,,,,,,,
edible,edible,,,,,,,,,,,,,,,,
edible,edible,,,,,,,,,,,,,,,,
edible,edible,,,,,,,,,,,,,,,,
edible,edible,,,,,,,,,,,,,,,,
edible,edible,,,,,,,,,,,,,,,,
edible,edible,,,,,,,,,,,,,,,,
edible,edible,,,,,,,,,,,,,,,,
edible,edible,,,,,,,,,,,,,,,,
edible,edible,,,,,,,,,,,,,,,,
edible,edible,,,,,,,,,,,,,,,,
edible,edible,,,,,,,,,,,,,,,,
edible,edible,,,,,,,,,,,,,,,,
edible,edible,,,,,,,,,,,,,,,,
edible,edible,,,,,,,,,,,,,,,,
edible,edible,,,,,,,,,,,,,,,,
edible,edible,,,,,,,,,,,,,,,,
